gen	evals	best_params                                                         	Fitness                  	avg      	std     	min        	max      
80 	5    	[3.189928279354267e-08, 2.3451963555246633e-08, 0.13850834930512348] 	(8.504463425443915e-07,) 	0.000297989	0.000215886	8.50444e-06	0.000560055
81 	5    	[3.189928279354267e-08, 2.3451963555246633e-08, 0.13850834930512348] 	(8.504463425443915e-07,) 	0.000515982	0.000279574	7.59444e-05	0.00082255 
82 	5    	[3.189928279354267e-08, 2.3451963555246633e-08, 0.13850834930512348] 	(8.504463425443915e-07,) 	0.000405578	0.000229955	5.8233e-05 	0.000771733
83 	5    	[3.189928279354267e-08, 2.3451963555246633e-08, 0.13850834930512348] 	(8.504463425443915e-07,) 	8.10968e-05	4.63675e-05	2.23241e-05	0.000155207
84 	5    	[3.189928279354267e-08, 2.3451963555246633e-08, 0.13850834930512348] 	(8.504463425443915e-07,) 	0.000599108	0.00068994 	7.81963e-06	0.00149006 
85 	5    	[3.189928279354267e-08, 2.3451963555246633e-08, 0.13850834930512348] 	(8.504463425443915e-07,) 	0.000676949	0.000640335	2.02741e-05	0.0015713  
86 	5    	[3.189928279354267e-08, 2.3451963555246633e-08, 0.13850834930512348] 	(8.504463425443915e-07,) 	0.000268051	0.00015461 	7.21563e-05	0.000431316
87 	5    	[3.189928279354267e-08, 2.3451963555246633e-08, 0.13850834930512348] 	(8.504463425443915e-07,) 	9.14316e-05	3.56194e-05	5.37019e-05	0.000153393
88 	5    	[3.189928279354267e-08, 2.3451963555246633e-08, 0.13850834930512348] 	(8.504463425443915e-07,) 	0.000381617	0.000311876	0.000115504	0.000951513
89 	5    	[3.189928279354267e-08, 2.3451963555246633e-08, 0.13850834930512348] 	(8.504463425443915e-07,) 	0.000489373	0.000487991	2.43352e-05	0.00137849 
90 	5    	[3.189928279354267e-08, 2.3451963555246633e-08, 0.13850834930512348] 	(8.504463425443915e-07,) 	0.00027689 	0.000302918	4.46111e-06	0.000819906
91 	5    	[3.189928279354267e-08, 2.3451963555246633e-08, 0.13850834930512348] 	(8.504463425443915e-07,) 	5.37593e-05	2.33454e-05	9.2863e-06 	7.647e-05  
92 	5    	[3.189928279354267e-08, 2.3451963555246633e-08, 0.13850834930512348] 	(8.504463425443915e-07,) 	0.000654227	0.000791012	5.53178e-05	0.00211678 
93 	5    	[3.189928279354267e-08, 2.3451963555246633e-08, 0.13850834930512348] 	(8.504463425443915e-07,) 	0.000650733	0.000774688	8.21819e-05	0.00214977 
94 	5    	[3.189928279354267e-08, 2.3451963555246633e-08, 0.13850834930512348] 	(8.504463425443915e-07,) 	0.000191167	0.000179168	1.74033e-05	0.000519041
95 	5    	[3.189928279354267e-08, 2.3451963555246633e-08, 0.13850834930512348] 	(8.504463425443915e-07,) 	5.94961e-05	3.51058e-05	3.01337e-05	0.000128258
96 	5    	[3.189928279354267e-08, 2.3451963555246633e-08, 0.13850834930512348] 	(8.504463425443915e-07,) 	0.000208051	0.000149872	1.89178e-05	0.000445949
97 	5    	[3.189928279354267e-08, 2.3451963555246633e-08, 0.13850834930512348] 	(8.504463425443915e-07,) 	0.000316404	0.000285847	1.25311e-05	0.000741713
98 	5    	[3.189928279354267e-08, 2.3451963555246633e-08, 0.13850834930512348] 	(8.504463425443915e-07,) 	0.000268436	0.000292027	1.47756e-05	0.000703329
99 	5    	[3.189928279354267e-08, 2.3451963555246633e-08, 0.13850834930512348] 	(8.504463425443915e-07,) 	0.000212412	0.000253512	8.49519e-06	0.000619569
