"[4.315475076703209e-07, 1.34700291040158e-07, 0.04845950890459126]","[3.511978210778566e-07, 4.7792739456274205e-08, 0.05423231552343266]","[3.732033027663112e-07, 1.3869514106137272e-07, 0.04327341478482395]","[2.7126707004409604e-07, 9.926872227495441e-08, 0.05081359106832318]","[3.1909737186485514e-07, 8.698468542803897e-08, 0.057293454977977956]","[1.1239992775060214e-07, 7.743104515721074e-08, 0.017220408705208922]","[2.3614758441835463e-07, 8.587716407890957e-08, 0.0526280837583188]","[4.0631181208041927e-07, 1.293900882057647e-07, 0.0502584869921482]","[3.930643002806391e-07, 9.105378663893721e-08, 0.05679108438132924]","[3.647053053518983e-07, 5.374754663606026e-08, 0.06089591869460355]"
"[4.5289494200633206e-07, 8.229866938630082e-08, 0.045145539378621084]","[3.6203024872420456e-07, 5.345874501354265e-08, 0.05838422139500482]","[3.7396865998763005e-07, 1.3145174633454888e-07, 0.02918372100394934]","[3.2126707004409604e-07, 8.076529006832124e-08, 0.060634199122548776]","[2.9805495296480797e-07, 9.341962932843381e-08, 0.07571584563471226]","[2.7463631083335295e-08, 8.135909207521658e-08, 0.003202994480763801]","[2.8614758441835463e-07, 7.039321548526175e-08, 0.06174069787318064]","[3.5632652724608823e-07, 4.2020959577588855e-08, 0.025230868908896795]","[3.725250998276593e-07, 9.156501828593778e-08, 0.04044821760083929]","[3.803484319907498e-07, 7.839338898035086e-08, 0.029637011549360562]"
"[4.087447139867855e-07, 3.148804287787377e-08, 0.0415738300479989]","[3.684655291750577e-07, 6.031212336826743e-08, 0.0605570249840063]","[3.7457836619906175e-07, 1.0392841815035843e-07, 0.017707161659694205]","[3.7126707004409603e-07, 7.051246712431203e-08, 0.0661527797503112]","[2.3926570018437124e-07, 9.250295875418053e-08, 0.0793890264511941]","[7.746363108333529e-08, 8.644616993467225e-08, 0.00252479554703911]","[3.3614758441835463e-07, 5.731528713233159e-08, 0.0649444072404226]","[2.7740084123119983e-07, 3.20427853646083e-08, 0.011842047024069328]","[3.35313793867778e-07, 9.317833278641333e-08, 0.025682710398020163]","[3.5904858324418215e-07, 1.1502636271069275e-07, 0.00973394835263738]"
"[3.4200978955845084e-07, 1.302700413569149e-10, 0.0391181459877109]","[3.7055671686808966e-07, 7.275335677308514e-08, 0.05217770131820876]","[3.7478012935020875e-07, 7.349652816263678e-08, 0.020946681401851085]","[3.8047661567047246e-07, 6.422364698591766e-08, 0.062462572947825944]","[1.9486700585704883e-07, 8.726141722388437e-08, 0.06946334611006638]","[1.2746363108333528e-07, 9.059273437613529e-08, 0.013683366196567185]","[3.542653086619178e-07, 4.5757714125050915e-08, 0.0631682487226856]","[2.3528150382624633e-07, 3.9799691911879794e-08, 0.01905217095993931]","[3.0435112696257544e-07, 9.389561045689031e-08, 0.02881846980363159]","[3.118638727227762e-07, 1.515636710272111e-07, 0.004378772727644843]"
"[2.7297242973254804e-07, 8.604909384488852e-11, 0.03875233337898274]","[3.677148403625061e-07, 8.61000430646079e-08, 0.0390412954201859]","[3.745075145553181e-07, 4.3607901316315223e-08, 0.037084544754747956]","[3.4512292837016895e-07, 6.345997740510266e-08, 0.05145314410899705]","[1.8607942215927444e-07, 8.17109858190179e-08, 0.05076215774822032]","[1.7746363108333528e-07, 9.138809654919045e-08, 0.033492763118517954]","[3.263382786922551e-07, 3.643859483825509e-08, 0.05686909224564768]","[2.506605507616837e-07, 6.42968024870868e-08, 0.039052170959939306]","[2.8818698190115904e-07, 9.344318128506861e-08, 0.047187564802091395]","[2.558300676873098e-07, 1.815063186574496e-07, 0.015507458723844809]"
"[2.2012748768751937e-07, 5.0086049093844886e-08, 0.0414886182453085]","[3.5895268683277645e-07, 8.69984342065765e-08, 0.028355795181111983]","[3.7324486432341993e-07, 1.926051495253366e-08, 0.05708454475474796]","[3.123706889877533e-07, 6.752210651182648e-08, 0.03676750767379283]","[2.3607942215927444e-07, 7.609777670215702e-08, 0.03086987821224222]","[2.2746363108333527e-07, 9.778598485430103e-08, 0.05349276311851796]","[2.9284189389037563e-07, 4.059118692068185e-08, 0.044946733112878334]","[2.825529849418449e-07, 1.142968024870868e-07, 0.05905217095993931]","[3.0491091304938385e-07, 9.26149716393953e-08, 0.06447807214105943]","[2.428181925486073e-07, 1.822935127885937e-07, 0.03550745872384481]"
"[1.9419428746940814e-07, 1.0008604909384488e-07, 0.04582014072795823]","[3.467919144997663e-07, 7.501198360620724e-08, 0.024657347432343976]","[3.720623750419672e-07, 4.344853522510392e-09, 0.06901352577753997]","[3.0144426742005677e-07, 7.572010207510793e-08, 0.029592060564025153]","[2.8607942215927443e-07, 7.086089977367735e-08, 0.018057165534375797]","[2.7746363108333527e-07, 1.0165556644626337e-07, 0.07289260549187022]","[2.718582736633303e-07, 5.197205285338082e-08, 0.03270717256027632]","[3.1909002830731105e-07, 1.642968024870868e-07, 0.0716604730589863]","[3.432559012955587e-07, 9.173023466426489e-08, 0.07210313178482763]","[2.798374661148797e-07, 1.5355837850355113e-07, 0.05550745872384481]"
"[2.4419428746940814e-07, 1.4702174435270354e-07, 0.04926343117373507]","[3.3829208352758604e-07, 6.113663018678257e-08, 0.03206073925184178]","[3.7171458094038675e-07, 2.8431247403327762e-08, 0.07316563228287454]","[3.0775227562568374e-07, 9.3279374285119e-08, 0.03487530458032026]","[3.0978434761745674e-07, 6.913593841549215e-08, 0.01387727903243396]","[3.1883496125647057e-07, 9.722096113688975e-08, 0.08922074448567072]","[2.7049144510262004e-07, 6.259793077949119e-08, 0.02437552985524171]","[3.56679257395836e-07, 2.142968024870868e-07, 0.0698655797908004]","[3.8009949527654513e-07, 8.49156512093448e-08, 0.06155451540528311]","[3.109083060897633e-07, 1.0906725350707053e-07, 0.0737234076893789]"
"[2.9419428746940814e-07, 1.4579645431067675e-07, 0.05090895579483862]","[3.4235159856486046e-07, 4.9860656617816635e-08, 0.04646443778223781]","[3.716340848568344e-07, 6.730308510211696e-08, 0.06098621181850622]","[3.038068530927169e-07, 1.0810745456044325e-07, 0.04538358169749967]","[3.579659009806965e-07, 7.41861362633918e-08, 0.03260632063646731]","[3.588967481849081e-07, 8.597095257815726e-08, 0.09062161415032406]","[3.1047704009200257e-07, 6.47052550586282e-08, 0.02787794804680328]","[3.8604548983000286e-07, 2.5561388768188695e-07, 0.0533842655822419]","[3.9885559097162483e-07, 7.876544601084146e-08, 0.04107073010821771]","[2.9285525186298133e-07, 6.420325856686845e-08, 0.08320015055543775]"
"[3.4419428746940814e-07, 1.0792250699316954e-07, 0.049015972661895946]","[3.4759206086721077e-07, 4.3509230711058434e-08, 0.06012571095980489]","[3.720086060980354e-07, 1.1137145323217806e-07, 0.04463634202283394]","[3.131241574203323e-07, 1.1517465902128426e-07, 0.05549325496993946]","[3.3723587449305987e-07, 8.21367531851671e-08, 0.05260632063646731]","[3.659399369576125e-07, 7.857177669312724e-08, 0.07235675412894135]","[3.6047704009200257e-07, 6.063752210361283e-08, 0.04058620273454437]","[3.658168500226776e-07, 2.316533791551469e-07, 0.03510593552702125]","[3.729181361601928e-07, 7.336428017300029e-08, 0.02336534414365593]","[2.7676892179668845e-07, 4.5324007496553115e-08, 0.0814320093278674]"
